"Don't see your tags in the report? New tags are excluded by default - go to https://console.aws.amazon.com/billing/home#/preferences/tags to update your cost allocation keys."
"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","AvailabilityZone","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142077","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AmazonS3","Amazon Simple Storage Service","Amazon Internet Services Pvt Ltd","USE2-TimedStorage-ByteHrs","","","6266619832","$0.000 per GB - storage under the monthly global free tier","2022/03/01 00:00:00","2022/03/31 23:59:59","0.00017695","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142097","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE2-AFS1-AWS-In-Bytes","","","6124044117","USD 0.0 per GB for EUN1-AWS-In-Bytes in Africa (Cape Town)","2022/03/01 00:00:00","2022/03/31 23:59:59","6E-8","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142092","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AmazonCloudWatch","AmazonCloudWatch","Amazon Internet Services Pvt Ltd","USE1-DataProcessing-Bytes","PutLogEvents","","6369923540","First 5GB per month of log data ingested is free.","2022/03/01 00:00:00","2022/03/31 23:59:59","0.00000763","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142027","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE2-DataTransfer-Regional-Bytes","","","6123917486","$0.000 per GB - regional data transfer under the monthly global free tier","2022/03/01 00:00:00","2022/03/31 23:59:59","0.03348694","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142037","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE2-APS1-AWS-Out-Bytes","","","6124033217","$0.02 per GB - US East (Ohio) data transfer to Asia Pacific (Singapore)","2022/03/01 00:00:00","2022/03/31 23:59:59","0.00000241","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142110","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSQueueService","Amazon Simple Queue Service","Amazon Internet Services Pvt Ltd","EU-Requests-Tier1","","","5259181787","First 1,000,000 Amazon SQS Requests per month are free","2022/03/01 00:00:00","2022/03/31 23:59:59","4.00000000","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142115","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE2-USW2-AWS-In-Bytes","","","6124037895","$0.00 per GB - US East (Ohio) data transfer from US West (Oregon)","2022/03/01 00:00:00","2022/03/31 23:59:59","0.00000109","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142030","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AmazonCloudWatch","AmazonCloudWatch","Amazon Internet Services Pvt Ltd","APN3-CW:GMD-Metrics","GetMetricData","","6369923138","$0.01 per 1,000 metrics requested using GetMetricData API - Asia Pacific (Osaka)","2022/03/01 00:00:00","2022/03/31 23:59:59","5.00000000","","USD","0.000050","0.000000","0.000000","None","0.000050"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142119","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE2-AFS1-AWS-Out-Bytes","","","6124042003","USD 0.02 per GB for EUN1-AWS-Out-Bytes in Africa (Cape Town)","2022/03/01 00:00:00","2022/03/31 23:59:59","4E-8","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142070","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Internet Services Pvt Ltd","USE2-BoxUsage:t2.medium","RunInstances","us-east-2a","6394617889","$0.0464 per On Demand Linux t2.medium Instance Hour","2022/03/01 00:00:00","2022/03/31 23:59:59","17.75611100","","USD","0.823884","0.000000","0.152622","GST","0.976506"
